,gender,locality,ethnicity,religion,q1,q2b,q4,q2,q3,q8,q9,resp_id
397,Male,CBD (central business district),White European,None,Football (soccer),,No,,Basketball;Football;Hockey stick;,,To buy something for myself;To buy something for somebody else;To check prices;,397
398,Female,Suburban,White European,None,Aerobics,Irregularly,No,Other;,Football;,,To buy something for myself;To check prices;,398
399,Female,Suburban,Any other white background,,Pilates,Irregularly,No,,Football;Hockey stick;,,To buy something for myself;To buy something for somebody else;To ask the staff for sporting advice;To check prices;,399
400,Male,CBD (central business district),White European,None,Aerobics,Regularly,No,Sky diving;Mountain biking;,Basketball;Football;Hockey stick;Surfboard;Parachute;Swimming goggles;,Mid-afternoon snacking;None of them;,Not applicable - I won't ever go to a sporting goods store;,400
401,Male,Urban,White European,None,Aerobics,,Yes,Sky diving;Base jumping;,Basketball;Hockey stick;,,To ask the staff for sporting advice;,401
402,Male,Remote,White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,Yes,Base jumping;,Basketball;Hockey stick;,,To buy something for myself;To buy something for somebody else;To ask the staff for sporting advice;To check prices;,402
403,Female,CBD (central business district),White European,,Lifting weights,Irregularly,No,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,403
404,Female,Urban,White European,,Aerobics,Irregularly,No,Base jumping;Parachuting;,Basketball;Football;Hockey stick;,,Don't know;,404
405,Male,Rural,White European,,Aerobics,Irregularly,No,Sky diving;Base jumping;Kite boarding;Snowboarding;Parachuting;,Hockey stick;,,Other;,405
406,Male,CBD (central business district),White European,Roman Catholic,Lifting weights,Irregularly,Yes,,Basketball;Hockey stick;,Lunch;,Not applicable - I won't ever go to a sporting goods store;,406
407,Male,CBD (central business district),White and Black Caribbean,,Lifting weights,,Yes,,Basketball;Football;Hockey stick;,,To ask the staff for sporting advice;Other;,407
408,Male,CBD (central business district),White European,,Football (soccer),,No,,Basketball;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,408
409,Female,Suburban,White European,Church of England/Anglican/Episcopal,Aerobics,Regularly,No,Kite boarding;,Basketball;Football;Hockey stick;,Lunch;,Not applicable - I won't ever go to a sporting goods store;,409
410,Male,CBD (central business district),Any other white background,None,Aerobics,Irregularly,No,Sky diving;Base jumping;,Basketball;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,410
411,Male,CBD (central business district),Any other mixed background,,Football (soccer),Irregularly,No,,Basketball;Football;Hockey stick;Surfboard;,Breakfast;Mid-afternoon snacking;Dinner;,To buy something for myself;,411
412,Male,Remote,White European,Other,Lifting weights,Regularly,No,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,412
413,Female,Suburban,White European,,Aerobics,Irregularly,No,Sky diving;Base jumping;,Basketball;Hockey stick;,,To check prices;,413
414,Male,CBD (central business district),White European,,Aerobics,Irregularly,Yes,Mountain biking;Snowboarding;,Basketball;Football;Hockey stick;Parachute;,,To buy something for myself;To ask the staff for sporting advice;To check prices;,414
415,Female,CBD (central business district),White European,,I regularly change my fitness activity,Irregularly,No,,Basketball;Football;Hockey stick;,,Don't know;,415
416,Male,Urban,White European,,Lifting weights,,Yes,,Basketball;Hockey stick;Parachute;,,To buy something for myself;To buy something for somebody else;,416
417,Male,CBD (central business district),White European,None,Swimming,Irregularly,Yes,,Football;,,To buy something for myself;To check prices;,417
418,Male,Suburban,White European,,Lifting weights,Irregularly,No,,Basketball;Hockey stick;,,To buy something for somebody else;,418
419,Male,,White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,No,Sky diving;Base jumping;,Basketball;Hockey stick;Parachute;,,To buy something for myself;To buy something for somebody else;To check prices;,419
420,Male,CBD (central business district),White European,,Swimming,Irregularly,Yes,,Basketball;Football;Hockey stick;,Breakfast;Lunch;Mid-afternoon snacking;Dinner;,To buy something for myself;To buy something for somebody else;,420
421,Male,Remote,White European,,Not applicable - I don't exercise,,Yes,,Basketball;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,421
422,Female,Urban,White European,,Football (soccer),Irregularly,Yes,,Hockey stick;Parachute;,Dinner;,To buy something for myself;To buy something for somebody else;To check prices;,422
423,Female,Remote,White European,,Football (soccer),,No,,Basketball;Football;Hockey stick;,,To buy something for somebody else;To check prices;,423
424,Female,CBD (central business district),White European,,Lifting weights,Irregularly,No,,Basketball;Football;Hockey stick;,,To buy something for myself;To buy something for somebody else;To check prices;,424
425,Female,Remote,White European,,Pilates,,No,,9Parachute;,,Don't know;,425
426,Female,Suburban,White European,,Lifting weights,Irregularly,No,,Basketball;Football;Hockey stick;,,To buy something for myself;To ask the staff for sporting advice;To check prices;,426
427,Male,Urban,White European,Jewish,Pilates,Irregularly,Yes,,Basketball;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,427
428,Female,Suburban,White European,,Lifting weights,Irregularly,Yes,,Basketball;Football;Hockey stick;Surfboard;Swimming goggles;,,To check prices;,428
429,Female,Rural,White European,None,Not applicable - I don't exercise,,Yes,,Basketball;Hockey stick;,Dinner;,Not applicable - I won't ever go to a sporting goods store;,429
430,Female,Urban,White European,Church of England/Anglican/Episcopal,Football (soccer),Irregularly,No,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,430
431,Female,CBD (central business district),White European,None,Lifting weights,Regularly,No,,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,431
432,Female,CBD (central business district),White European,,Swimming,Irregularly,No,,Basketball;Football;Hockey stick;,,To buy something for myself;To buy something for somebody else;To ask the staff for sporting advice;To check prices;,432
433,Male,Suburban,White European,None,Football (soccer),Regularly,No,,Basketball;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,433
434,Female,Urban,White European,None,Yoga,Irregularly,No,,Hockey stick;,,To buy something for myself;To buy something for somebody else;To check prices;,434
435,Female,CBD (central business district),White European,,Running/jogging,Irregularly,No,,Basketball;Football;,Mid-morning snacking;Mid-afternoon snacking;Dinner;,To buy something for myself;To buy something for somebody else;To check prices;,435
436,Female,CBD (central business district),White European,,Aerobics,Irregularly,No,Sky diving;Base jumping;Mountain biking;Kite boarding;Snowboarding;,Basketball;Football;Hockey stick;Surfboard;Parachute;,,To buy something for myself;,436
437,Male,CBD (central business district),White European,,Running/jogging,,No,,Basketball;Football;Hockey stick;Parachute;,,Don't know;,437
438,Male,Urban,Chinese,None,Swimming,Irregularly,No,,Basketball;Football;Hockey stick;,,To ask the staff for sporting advice;,438
439,Female,Suburban,White European,None,Aerobics,,No,Sky diving;Base jumping;Mountain biking;,Basketball;Hockey stick;Parachute;,,Not applicable - I won't ever go to a sporting goods store;,439
440,Male,Remote,White European,Prefer not to say,Lifting weights,,No,,Basketball;Football;Hockey stick;Parachute;,Breakfast;Mid-afternoon snacking;Dinner;,Not applicable - I won't ever go to a sporting goods store;,440
441,Male,CBD (central business district),White European,Prefer not to say,Lifting weights,Irregularly,No,,Basketball;Football;Hockey stick;,,To buy something for myself;,441
442,Male,Urban,White European,Methodist,Lifting weights,Irregularly,No,,Basketball;Football;Hockey stick;,,Don't know;,442
443,Male,CBD (central business district),White European,,Running/jogging,Irregularly,No,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,443
444,Female,Urban,White European,Presbyterian/Church of Scotland,Pilates,Irregularly,No,,Basketball;Football;Hockey stick;,,Don't know;,444
445,Female,CBD (central business district),White European,None,Aerobics,Irregularly,No,Base jumping;,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,445
446,Male,CBD (central business district),White European,,Aerobics,Never,No,Base jumping;,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,446
447,Female,Urban,White European,Roman Catholic,Football (soccer),Irregularly,No,,Football;Hockey stick;Surfboard;,,To buy something for myself;To buy something for somebody else;To check prices;,447
448,Female,Remote,White European,None,Aerobics,Irregularly,Yes,Base jumping;,Basketball;Football;Hockey stick;,Breakfast;Mid-afternoon snacking;,Don't know;,448
449,Female,,Any other Asian background,,Lifting weights,,No,,Basketball;Hockey stick;,,Don't know;,449
450,Male,CBD (central business district),White European,,Lifting weights,Irregularly,No,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,450
451,Female,Urban,Indian,Hindu,Aerobics,Irregularly,No,Kite boarding;,Basketball;Hockey stick;,,To buy something for myself;To buy something for somebody else;To ask the staff for sporting advice;,451
452,Female,Urban,White European,,Yoga,Irregularly,No,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,452
453,Female,CBD (central business district),Black African,Church of England/Anglican/Episcopal,Aerobics,Irregularly,No,Sky diving;Base jumping;Mountain biking;Kite boarding;Snowboarding;,Basketball;Football;Hockey stick;,Dinner;,To buy something for somebody else;,453
454,Male,Urban,White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,No,Mountain biking;,Basketball;Hockey stick;,,To buy something for myself;To check prices;,454
455,Male,Urban,White European,None,Not applicable - I don't exercise,Regularly,No,,Hockey stick;,,To buy something for somebody else;,455
456,Female,Urban,White European,,Football (soccer),Irregularly,No,,Basketball;Football;Hockey stick;,Breakfast;,Not applicable - I won't ever go to a sporting goods store;,456
457,Female,CBD (central business district),White European,,Football (soccer),Irregularly,No,,Basketball;Football;Hockey stick;,,To buy something for myself;,457
458,Male,,White European,Church of England/Anglican/Episcopal,Football (soccer),Irregularly,No,,Basketball;Football;Hockey stick;Climbing gear;,Lunch;Dinner;,Don't know;,458
459,Female,Urban,White and Black Caribbean,,Running/jogging,Irregularly,No,,Football;Hockey stick;,,To buy something for myself;,459
460,Male,Rural,White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,No,,Basketball;Football;Hockey stick;,,To buy something for myself;To check prices;,460
461,Male,CBD (central business district),White European,,Aerobics,Irregularly,No,Sky diving;Base jumping;Mountain biking;Kite boarding;Snowboarding;,Football;Hockey stick;,,To buy something for myself;To buy something for somebody else;To check prices;,461
462,Male,Rural,Prefer not to say,,Yoga,Irregularly,No,,Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,462
463,Male,CBD (central business district),White European,,Swimming,Regularly,Yes,,Basketball;Football;Hockey stick;,Don't know (it varies a lot);,Not applicable - I won't ever go to a sporting goods store;,463
464,Female,CBD (central business district),White European,Roman Catholic,Lifting weights,,No,,Basketball;Football;Hockey stick;,,Don't know;,464
465,Male,Suburban,White European,,Aerobics,Never,No,Base jumping;Mountain biking;,Football;Hockey stick;Surfboard;,,To buy something for myself;To buy something for somebody else;To check prices;,465
466,Male,Urban,White European,,Lifting weights,Irregularly,No,,Hockey stick;,Dinner;,Other;,466
467,Male,CBD (central business district),White European,Methodist,Aerobics,Irregularly,Yes,Base jumping;Mountain biking;Kite boarding;Snowboarding;,Basketball;Football;Hockey stick;,,To buy something for somebody else;,467
468,Male,CBD (central business district),Any other white background,,Not applicable - I don't exercise,Irregularly,No,,Hockey stick;,None of them;,To buy something for myself;,468
469,Female,CBD (central business district),White European,,Swimming,Irregularly,No,,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,469
470,Male,Rural,White European,,Aerobics,Irregularly,No,Sky diving;Base jumping;Mountain biking;Kite boarding;Snowboarding;,Basketball;Football;Parachute;,,To buy something for myself;To check prices;,470
471,Male,CBD (central business district),White European,Buddhist,Aerobics,Irregularly,Yes,Base jumping;Mountain biking;Snowboarding;,Basketball;Football;Hockey stick;Surfboard;Parachute;,,To buy something for myself;To ask the staff for sporting advice;,471
472,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,No,,Basketball;Football;Hockey stick;Parachute;,Breakfast;Lunch;Mid-afternoon snacking;Dinner;,To buy something for myself;To buy something for somebody else;To check prices;,472
473,Female,Urban,White European,Roman Catholic,Aerobics,Irregularly,No,Sky diving;Base jumping;Mountain biking;Parachuting;,Basketball;Football;Hockey stick;Parachute;,,To buy something for myself;To ask the staff for sporting advice;To check prices;,473
474,Male,Urban,White European,Church of England/Anglican/Episcopal,Football (soccer),Irregularly,No,,Basketball;Hockey stick;,Breakfast;Lunch;Mid-afternoon snacking;,Not applicable - I won't ever go to a sporting goods store;,474
475,Male,CBD (central business district),White European,,Lifting weights,Irregularly,Yes,,Football;Hockey stick;Parachute;,,Not applicable - I won't ever go to a sporting goods store;,475
476,Male,Urban,White European,None,Not applicable - I don't exercise,,No,,Basketball;,,Not applicable - I won't ever go to a sporting goods store;,476
477,Female,Suburban,Any other white background,,Not applicable - I don't exercise,,Yes,,Basketball;Football;Hockey stick;Parachute;,,To buy something for myself;,477
478,Male,Urban,White European,,Aerobics,Irregularly,No,Base jumping;,Basketball;Football;Hockey stick;Parachute;,,To buy something for myself;To buy something for somebody else;To check prices;,478
479,Female,Suburban,White European,Roman Catholic,Football (soccer),Irregularly,No,,Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,479
480,Female,Remote,White European,,Aerobics,Irregularly,No,Sky diving;Mountain biking;Parachuting;,Basketball;Football;,,Not applicable - I won't ever go to a sporting goods store;,480
481,Female,Urban,White European,,Aerobics,Irregularly,No,Mountain biking;,Basketball;Football;Hockey stick;,,Don't know;,481
482,Male,CBD (central business district),White European,,Lifting weights,Irregularly,Yes,,Basketball;Football;Hockey stick;Parachute;,,Not applicable - I won't ever go to a sporting goods store;,482
483,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,Yes,Sky diving;Base jumping;Mountain biking;Kite boarding;Snowboarding;,Basketball;Football;Hockey stick;Climbing gear;,,To buy something for myself;To buy something for somebody else;To check prices;,483
484,Male,Suburban,White European,None,Running/jogging,Irregularly,Yes,,Hockey stick;,Lunch;Mid-afternoon snacking;None of them;,To check prices;,484
485,Male,CBD (central business district),White European,,Lifting weights,Irregularly,No,,Basketball;Football;Hockey stick;Parachute;,,Don't know;,485
486,Female,Urban,White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,No,,Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,486
487,Female,Urban,White European,Prefer not to say,Lifting weights,Irregularly,No,,Football;Hockey stick;,,To buy something for myself;To buy something for somebody else;To ask the staff for sporting advice;To check prices;,487
488,Male,Urban,White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,Yes,Sky diving;Mountain biking;Kite boarding;Parachuting;,Football;Hockey stick;Surfboard;,None of them;,To buy something for myself;To buy something for somebody else;To ask the staff for sporting advice;To check prices;,488
489,Male,Remote,White European,Church of England/Anglican/Episcopal,Lifting weights,,No,,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,489
490,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,No,,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,490
491,Male,Urban,White European,,Aerobics,,Yes,Mountain biking;,Basketball;Football;Hockey stick;,Mid-morning snacking;Mid-afternoon snacking;,To buy something for myself;To buy something for somebody else;,491
492,Male,CBD (central business district),White European,,Other,,Yes,,Basketball;Hockey stick;,,Don't know;,492
493,Female,CBD (central business district),White European,,Running/jogging,Irregularly,No,,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,493
494,Male,Urban,White European,None,Running/jogging,,No,,Basketball;Football;Hockey stick;Parachute;,,Not applicable - I won't ever go to a sporting goods store;,494
495,Female,Urban,White European,,Lifting weights,,Yes,,Basketball;Hockey stick;,,Don't know;,495
496,Female,CBD (central business district),White European,Roman Catholic,Aerobics,Never,No,Sky diving;Mountain biking;Parachuting;,Basketball;Football;,Mid-afternoon snacking;Dinner;,To buy something for somebody else;,496
497,Female,Urban,White European,Church of England/Anglican/Episcopal,Pilates,Irregularly,No,,Basketball;Football;Hockey stick;Parachute;,Dinner;,Don't know;,497
498,Male,Remote,White European,Methodist,Lifting weights,Irregularly,No,,Basketball;Football;Hockey stick;,Dinner;,Not applicable - I won't ever go to a sporting goods store;,498
499,Male,Suburban,White European,None,Lifting weights,,No,,Basketball;Football;Hockey stick;,,Don't know;,499
500,Male,Urban,White European,None,Aerobics,Irregularly,Yes,Other;,Basketball;Hockey stick;Surfboard;Swimming goggles;,,To buy something for myself;To check prices;,500
501,Female,Urban,White European,None,Running/jogging,Irregularly,Yes,,Basketball;Football;Parachute;,,Not applicable - I won't ever go to a sporting goods store;,501
502,Female,Urban,Any other white background,,Aerobics,Irregularly,Yes,Mountain biking;,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,502
503,Female,CBD (central business district),White European,None,Lifting weights,Irregularly,Yes,,Basketball;Climbing gear;,,To buy something for myself;,503
504,Male,CBD (central business district),White European,,Aerobics,Irregularly,No,Base jumping;,Football;Hockey stick;,Lunch;Mid-afternoon snacking;,To buy something for myself;,504
505,Female,CBD (central business district),Any other white background,,Not applicable - I don't exercise,Irregularly,No,,Basketball;Hockey stick;,Dinner;,To buy something for myself;To check prices;,505
506,Male,CBD (central business district),White European,None,Running/jogging,Irregularly,Yes,,Basketball;Football;Hockey stick;,None of them;,Not applicable - I won't ever go to a sporting goods store;,506
507,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,Yes,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,507
508,Female,Urban,White European,,Lifting weights,Irregularly,Yes,,Basketball;Hockey stick;Parachute;,,To buy something for myself;,508
509,Female,Urban,Any other white background,None,Not applicable - I don't exercise,,No,,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,509
510,Male,Remote,White European,,Lifting weights,,Yes,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,510
511,Female,Urban,White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,Yes,,Basketball;Football;Hockey stick;,Breakfast;Lunch;Mid-afternoon snacking;,Not applicable - I won't ever go to a sporting goods store;,511
512,Female,Suburban,White European,None,Aerobics,Regularly,Yes,Base jumping;Mountain biking;,Basketball;Football;Hockey stick;Bicycle;,Mid-afternoon snacking;Dinner;,To buy something for somebody else;,512
513,Female,Urban,Any other white background,Presbyterian/Church of Scotland,Lifting weights,Irregularly,No,,Basketball;Football;Parachute;,,To buy something for myself;To buy something for somebody else;To check prices;,513
514,Female,Remote,Black Caribbean,Church of England/Anglican/Episcopal,Pilates,Never,No,,Basketball;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,514
515,Female,Urban,White European,None,Lifting weights,Irregularly,No,,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,515
516,Female,Suburban,White European,,Running/jogging,,No,,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,516
517,Male,Suburban,White European,,Other,Irregularly,No,,Football;,Dinner;,Don't know;,517
518,Male,CBD (central business district),Other ethnic group,,Aerobics,Never,Yes,Kite boarding;,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,518
519,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,No,,Basketball;Football;Hockey stick;,,To buy something for myself;,519
520,Male,Suburban,White European,None,Running/jogging,Regularly,No,,Hockey stick;,,To buy something for myself;To check prices;,520
521,Female,Suburban,White European,,Lifting weights,Irregularly,No,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,521
522,Male,Rural,White European,None,Aerobics,,Yes,Sky diving;Base jumping;Mountain biking;Snowboarding;Parachuting;,Basketball;Football;Hockey stick;Climbing gear;Bicycle;,,To buy something for myself;,522
523,Male,Urban,White European,Church of England/Anglican/Episcopal,Yoga,Irregularly,No,,Basketball;Football;Hockey stick;,Dinner;,To buy something for myself;To buy something for somebody else;To ask the staff for sporting advice;,523
524,Female,Remote,Bangladeshi,Islam/Muslim,Aerobics,,Yes,Other;,Basketball;Hockey stick;,,Don't know;,524
525,Female,Urban,White European,,Aerobics,Irregularly,No,Sky diving;Base jumping;Mountain biking;Kite boarding;Snowboarding;Parachuting;,Basketball;Hockey stick;Climbing gear;,,Don't know;,525
526,Female,CBD (central business district),Black Caribbean,,Not applicable - I don't exercise,,No,,9Parachute;,,To buy something for somebody else;,526
527,Male,Rural,White European,,Not applicable - I don't exercise,,No,,Basketball;,,Not applicable - I won't ever go to a sporting goods store;,527
528,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,No,Base jumping;Mountain biking;,Basketball;Football;Hockey stick;,,To buy something for myself;,528
529,Female,Urban,White European,,Lifting weights,,No,,Basketball;,,To buy something for myself;To buy something for somebody else;To check prices;,529
530,Male,CBD (central business district),Other ethnic group,,Lifting weights,,Yes,,Basketball;Hockey stick;,,Don't know;,530
531,Male,Urban,White European,,Other,,Yes,,Basketball;Hockey stick;Parachute;,,To buy something for myself;To buy something for somebody else;To ask the staff for sporting advice;To check prices;,531
532,Male,Remote,White European,,Aerobics,Irregularly,Yes,Mountain biking;,Basketball;Hockey stick;Surfboard;,,Not applicable - I won't ever go to a sporting goods store;,532
533,Female,CBD (central business district),Indian,Sikh,Aerobics,Irregularly,No,Mountain biking;,9Parachute;,,Not applicable - I won't ever go to a sporting goods store;,533
534,Female,Urban,White European,None,Aerobics,,No,Other;,Football;Hockey stick;Surfboard;Swimming goggles;,,To buy something for myself;,534
535,Female,Urban,White European,Prefer not to say,Not applicable - I don't exercise,,Yes,,Basketball;Hockey stick;,,To buy something for myself;To buy something for somebody else;To check prices;,535
536,Male,CBD (central business district),White European,,Aerobics,,No,Mountain biking;,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,536
537,Female,Urban,White European,,Lifting weights,Irregularly,Yes,,Basketball;Hockey stick;,Breakfast;Mid-afternoon snacking;,Not applicable - I won't ever go to a sporting goods store;,537
538,Female,Suburban,Black African,Church of England/Anglican/Episcopal,Lifting weights,,Yes,,Basketball;,,Don't know;,538
539,Female,Suburban,White European,None,Aerobics,,No,Sky diving;Mountain biking;,Basketball;Football;Hockey stick;,,To buy something for myself;,539
540,Female,Suburban,White European,,Aerobics,,No,Sky diving;Base jumping;Mountain biking;Snowboarding;Parachuting;,Basketball;Football;,,To buy something for somebody else;,540
541,Male,CBD (central business district),White European,,Lifting weights,Irregularly,No,,Basketball;Football;Hockey stick;,Mid-afternoon snacking;,Not applicable - I won't ever go to a sporting goods store;,541
542,Male,Suburban,White European,,Aerobics,Irregularly,No,Parachuting;,Basketball;Hockey stick;,,To buy something for myself;To buy something for somebody else;To ask the staff for sporting advice;To check prices;,542
543,Female,CBD (central business district),White European,,Pilates,Irregularly,Yes,,Hockey stick;,None of them;,To buy something for myself;To check prices;,543
544,Male,Suburban,White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,No,Mountain biking;,Basketball;Football;Hockey stick;,Breakfast;Lunch;Dinner;,Not applicable - I won't ever go to a sporting goods store;,544
545,Female,CBD (central business district),White European,None,Aerobics,Irregularly,Yes,Mountain biking;,Basketball;Football;,,Not applicable - I won't ever go to a sporting goods store;,545
546,Male,Urban,White European,,Aerobics,Irregularly,Yes,Base jumping;Mountain biking;,Basketball;Football;Hockey stick;Parachute;,Dinner;,Don't know;,546
547,Female,CBD (central business district),White European,None,Lifting weights,Irregularly,Yes,,Basketball;Football;Hockey stick;Parachute;,,Don't know;,547
548,Female,Urban,White European,,Lifting weights,Irregularly,No,,Hockey stick;,,Don't know;,548
549,Female,Suburban,White European,None,Not applicable - I don't exercise,,No,,Basketball;,,To buy something for myself;,549
550,Female,Urban,White European,None,Aerobics,Irregularly,No,Sky diving;Parachuting;,Basketball;Football;,,Not applicable - I won't ever go to a sporting goods store;,550
551,Male,Urban,White European,None,Swimming,Irregularly,No,,Basketball;Hockey stick;Parachute;,,Not applicable - I won't ever go to a sporting goods store;,551
552,Male,CBD (central business district),White European,None,Lifting weights,,Yes,,9Parachute;,,To buy something for myself;,552
553,Female,CBD (central business district),White European,Roman Catholic,Lifting weights,Never,Yes,,Basketball;Hockey stick;,Mid-afternoon snacking;Dinner;,To buy something for myself;To buy something for somebody else;,553
554,Male,Suburban,Black Caribbean,,Aerobics,,No,Other;,Basketball;Football;Hockey stick;Parachute;,,Not applicable - I won't ever go to a sporting goods store;,554
555,Female,CBD (central business district),White European,,Aerobics,Regularly,No,Mountain biking;Snowboarding;,Basketball;Football;Hockey stick;Parachute;,,To buy something for myself;To check prices;,555
556,Female,CBD (central business district),White European,,Aerobics,Irregularly,No,Sky diving;Base jumping;Mountain biking;Snowboarding;Parachuting;,Basketball;Football;Hockey stick;Surfboard;,,To buy something for somebody else;To check prices;,556
557,Male,Suburban,White European,,Lifting weights,Regularly,No,,Basketball;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,557
558,Female,CBD (central business district),White European,,Lifting weights,Irregularly,No,,Football;Hockey stick;,,Don't know;,558
559,Female,Suburban,White European,None,Aerobics,Irregularly,Yes,Sky diving;Mountain biking;Snowboarding;,Basketball;Football;Hockey stick;Parachute;,,Not applicable - I won't ever go to a sporting goods store;,559
560,Male,Urban,White European,,Aerobics,Irregularly,No,Mountain biking;,Basketball;Football;Hockey stick;,None of them;,To buy something for myself;,560
561,Female,Urban,Indian,Other,Lifting weights,Irregularly,Yes,,Hockey stick;,Dinner;,Not applicable - I won't ever go to a sporting goods store;,561
562,Female,Remote,White European,,Not applicable - I don't exercise,,No,,Basketball;Hockey stick;,Breakfast;Lunch;Mid-afternoon snacking;Dinner;,Not applicable - I won't ever go to a sporting goods store;,562
563,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,No,Mountain biking;,Basketball;Football;Hockey stick;,,To buy something for myself;,563
564,Female,Rural,White European,Methodist,Other,Irregularly,No,,Football;Hockey stick;Parachute;,,To buy something for myself;To buy something for somebody else;To check prices;,564
565,Female,CBD (central business district),White European,,Aerobics,Irregularly,No,Base jumping;,Basketball;Football;Hockey stick;Surfboard;,,Don't know;,565
566,Female,Suburban,Prefer not to say,,Lifting weights,,No,,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,566
567,Female,Urban,Any other white background,,Not applicable - I don't exercise,Never,No,,9Parachute;,,To buy something for somebody else;,567
568,Female,Rural,White European,Presbyterian/Church of Scotland,Football (soccer),Irregularly,No,,Basketball;Football;,,Don't know;,568
569,Female,Urban,White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,No,Base jumping;Mountain biking;,Basketball;Football;Hockey stick;Parachute;,Dinner;,Don't know;,569
570,Male,CBD (central business district),White European,None,Aerobics,Irregularly,No,None of these;,Basketball;Hockey stick;Parachute;,,Not applicable - I won't ever go to a sporting goods store;,570
571,Female,CBD (central business district),White European,,Running/jogging,Irregularly,No,,Football;,,Not applicable - I won't ever go to a sporting goods store;,571
572,Female,Remote,White European,,Aerobics,Irregularly,Yes,Sky diving;Base jumping;Mountain biking;Snowboarding;,Basketball;Surfboard;Parachute;Swimming goggles;,Breakfast;Dinner;,To buy something for myself;,572
573,Female,Rural,White European,Roman Catholic,Pilates,Irregularly,No,,Basketball;Football;Hockey stick;Parachute;,,To buy something for myself;To buy something for somebody else;To check prices;,573
574,Female,Remote,White European,,Lifting weights,,No,,Basketball;Football;Hockey stick;,,To buy something for myself;,574
575,Female,CBD (central business district),White European,,Aerobics,Irregularly,No,Mountain biking;,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,575
576,Female,Urban,White European,Church of England/Anglican/Episcopal,Pilates,Irregularly,No,,Hockey stick;Parachute;,,To buy something for myself;To buy something for somebody else;To check prices;,576
577,Male,Suburban,White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,No,Sky diving;Base jumping;Mountain biking;,Basketball;Football;Hockey stick;,Mid-afternoon snacking;,To buy something for myself;To buy something for somebody else;To ask the staff for sporting advice;To check prices;,577
578,Male,Remote,White European,Other,Aerobics,Irregularly,Yes,Kite boarding;,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,578
